time,open,high,low,close,Volume,Open,High,Low,Close,Volume
1999-01-22,0.04012443,0.0447827,0.03558659,0.03761765,2714675359.9999995,0.04012443,0.0447827,0.03558659,0.03761765,2714675359.9999995
1999-01-25,0.04060216,0.04203517,0.03761664,0.04155744,510477440,0.04060216,0.04203517,0.03761664,0.04155744,510477440
1999-01-26,0.04203517,0.04287104,0.03773605,0.03833319,343198279.99999994,0.04203517,0.04287104,0.03773605,0.03833319,343198279.99999994
1999-01-27,0.0384526,0.03940797,0.03630305,0.03821378,244366760,0.0384526,0.03940797,0.03630305,0.03821378,244366760
1999-01-28,0.03821378,0.0384526,0.03785546,0.03809437,227518839.99999997,0.03821378,0.0384526,0.03785546,0.03809437,227518839.99999997
1999-01-29,0.03809437,0.03821378,0.03630305,0.03630305,244030760,0.03809437,0.03821378,0.03630305,0.03630305,244030760
1999-02-01,0.03630305,0.03725841,0.03630305,0.0370196,154703200.00000003,0.03630305,0.03725841,0.03630305,0.0370196,154703200.00000003
1999-02-02,0.03630305,0.03725841,0.0330788,0.03415358,264094640.00000003,0.03630305,0.03725841,0.0330788,0.03415358,264094640.00000003
1999-02-03,0.03367585,0.03534777,0.03343703,0.03487004,75119599.99999999,0.03367585,0.03534777,0.03343703,0.03487004,75119599.99999999
1999-02-04,0.03534777,0.03773605,0.03487004,0.03678078,181919079.99999997,0.03534777,0.03773605,0.03487004,0.03678078,181919079.99999997
1999-02-05,0.03737782,0.03821378,0.03642245,0.03785546,136847279.99999997,0.03737782,0.03821378,0.03642245,0.03785546,136847279.99999997
1999-02-08,0.03809437,0.03821378,0.03654186,0.03654186,154079200,0.03809437,0.03821378,0.03654186,0.03654186,154079200
1999-02-09,0.03725841,0.03749723,0.03463122,0.03510886,86975560,0.03725841,0.03749723,0.03463122,0.03510886,86975560
1999-02-10,0.03510886,0.03606423,0.03415358,0.03475063,148223239.99999994,0.03510886,0.03606423,0.03415358,0.03475063,148223239.99999994
1999-02-11,0.03487004,0.03916906,0.03487004,0.03773605,132239320,0.03487004,0.03916906,0.03487004,0.03773605,132239320
1999-02-12,0.03821378,0.04012443,0.03821378,0.03988561,109727440,0.03821378,0.04012443,0.03821378,0.03988561,109727440
1999-02-16,0.04060216,0.04227399,0.03606423,0.04012443,211006920.00000003,0.04060216,0.04227399,0.03606423,0.04012443,211006920.00000003
1999-02-17,0.03916906,0.03964679,0.03725841,0.03797497,67727639.99999999,0.03916906,0.03964679,0.03725841,0.03797497,67727639.99999999
1999-02-18,0.03916906,0.03964679,0.03749723,0.03857201,70703640,0.03916906,0.03964679,0.03749723,0.03857201,70703640
1999-02-19,0.03821378,0.04060216,0.03773605,0.03988561,75359599.99999999,0.03821378,0.04060216,0.03773605,0.03988561,75359599.99999999
1999-02-22,0.04060216,0.0410798,0.03797497,0.04012443,205246960,0.04060216,0.0410798,0.03797497,0.04012443,205246960
1999-02-23,0.0410798,0.04287104,0.03869142,0.04203517,138095279.99999994,0.0410798,0.04287104,0.03869142,0.04203517,138095279.99999994
1999-02-24,0.04824485,0.05015559,0.04430405,0.04537883,612764920.0000001,0.04824485,0.05015559,0.04430405,0.04537883,612764920.0000001
1999-02-25,0.04728957,0.04872258,0.04322936,0.04394582,149135240,0.04728957,0.04872258,0.04322936,0.04394582,149135240
1999-02-26,0.04442346,0.04585656,0.04155744,0.04191576,172607120,0.04442346,0.04585656,0.04155744,0.04191576,172607120
1999-03-01,0.04299045,0.04394582,0.04012443,0.04215458,92159520,0.04299045,0.04394582,0.04012443,0.04215458,92159520
1999-03-02,0.04203517,0.04227399,0.0410798,0.04179626,55247720,0.04203517,0.04227399,0.0410798,0.04179626,55247720
1999-03-03,0.04203517,0.04203517,0.03869142,0.03893024,61391680.00000001,0.04203517,0.04203517,0.03869142,0.03893024,61391680.00000001
1999-03-04,0.04084098,0.0410798,0.03773605,0.03809437,57359679.99999999,0.04084098,0.0410798,0.03773605,0.03809437,57359679.99999999
1999-03-05,0.0384526,0.04036325,0.0384526,0.04024384,78767599.99999999,0.0384526,0.04036325,0.0384526,0.04024384,78767599.99999999
1999-03-08,0.03916906,0.04203517,0.0384526,0.04084098,75887600,0.03916906,0.04203517,0.0384526,0.04084098,75887600
1999-03-09,0.04072157,0.04275163,0.04072157,0.04215458,143183280,0.04072157,0.04275163,0.04072157,0.04215458,143183280
1999-03-10,0.04263222,0.04275163,0.04084098,0.04143803,235342800,0.04263222,0.04275163,0.04084098,0.04143803,235342800
1999-03-11,0.04072157,0.04143803,0.03964679,0.03964679,54287719.99999998,0.04072157,0.04143803,0.03964679,0.03964679,54287719.99999998
1999-03-12,0.03988561,0.03988561,0.03821378,0.03893024,90767520,0.03988561,0.03988561,0.03821378,0.03893024,90767520
1999-03-15,0.03988561,0.0410798,0.03964679,0.04060216,108815440,0.03988561,0.0410798,0.03964679,0.04060216,108815440
1999-03-16,0.04084098,0.04131862,0.03893024,0.03928856,79151599.99999999,0.04084098,0.04131862,0.03893024,0.03928856,79151599.99999999
1999-03-17,0.03964679,0.04036325,0.03857201,0.03952738,51359720.00000001,0.03964679,0.04036325,0.03857201,0.03952738,51359720.00000001
1999-03-18,0.03964679,0.04060216,0.03869142,0.04000502,46319759.99999998,0.03964679,0.04060216,0.03869142,0.04000502,46319759.99999998
1999-03-19,0.03988561,0.04131862,0.03988561,0.04012443,105311439.99999999,0.03988561,0.04131862,0.03988561,0.04012443,105311439.99999999
1999-03-22,0.04096039,0.0410798,0.03893024,0.03893024,36671799.99999999,0.04096039,0.0410798,0.03893024,0.03893024,36671799.99999999
1999-03-23,0.03916906,0.03916906,0.03582541,0.03654186,163967159.99999997,0.03916906,0.03916906,0.03582541,0.03654186,163967159.99999997
1999-03-24,0.03630305,0.03654186,0.03487004,0.03630305,60863680,0.03630305,0.03654186,0.03487004,0.03630305,60863680
1999-03-25,0.03618364,0.03821378,0.03606423,0.03678078,40319760.00000001,0.03618364,0.03821378,0.03606423,0.03678078,40319760.00000001
1999-03-26,0.03725841,0.04012443,0.03725841,0.04000502,88271520,0.03725841,0.04012443,0.03725841,0.04000502,88271520
1999-03-29,0.04119921,0.04215458,0.04048266,0.04119921,65951639.99999999,0.04119921,0.04215458,0.04048266,0.04119921,65951639.99999999
1999-03-30,0.04131862,0.04167685,0.03749723,0.03773605,69503640.00000001,0.04131862,0.04167685,0.03749723,0.03773605,69503640.00000001
1999-03-31,0.03893024,0.04084098,0.03713901,0.04036325,153599200,0.03893024,0.04084098,0.03713901,0.04036325,153599200
1999-04-01,0.04036325,0.04060216,0.0384526,0.03916906,30431840,0.04036325,0.04060216,0.0384526,0.03916906,30431840
1999-04-05,0.03869142,0.03964679,0.03773605,0.03797497,98639479.99999999,0.03869142,0.03964679,0.03773605,0.03797497,98639479.99999999
1999-04-06,0.03833319,0.0384526,0.03630305,0.0370196,69695640,0.03833319,0.0384526,0.03630305,0.0370196,69695640
1999-04-07,0.03725841,0.04036325,0.0370196,0.04012443,89279520.00000001,0.03725841,0.04036325,0.0370196,0.04012443,89279520.00000001
1999-04-08,0.04036325,0.04203517,0.03988561,0.04084098,130127319.99999996,0.04036325,0.04203517,0.03988561,0.04084098,130127319.99999996
